year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2023-07,Green,Bags,114006.07,
2023-07,Green,Packets (4g - 1kg),66278.89,
2023-07,Green,Packets (3Kg - 5kg),21592.64,
2023-07,Green,Packets (5Kg - 10kg),3990.0,
2023-07,Instant,Bags,100.0,
2023-07,Instant,Packets (>3kg),2167.87,
2023-08,Black,Bags,422390.99,
2023-08,Black,Bulk,218926.8,
2023-08,Black,Packets (4g - 1kg),51302.18,
2023-08,Black,Packets (1kg - 3KG),1.0,
2023-08,Black,Packets (5KG -10KG ),5850.0,
2023-08,Green,Bags,122306.83,
2023-08,Green,Bulk,7810.0,
2023-08,Green,Packets (4g - 1kg),18852.4,
2023-08,Green,Packets (3Kg - 5kg),1275.0,
2023-08,Green,Packets (5Kg - 10kg),2610.0,
2023-08,Instant,Bags,80.0,
2023-08,Instant,Packets (>3kg),12529.41,
2023-08,Instant,Packets (1kg-3kg),390.0,
2023-09,Black,Bags,536581.24,
2023-09,Black,Bulk,121426.15,
2023-09,Black,Packets (4g - 1kg),104619.95,
2023-09,Black,Packets (5KG -10KG ),5720.0,
2023-09,Green,Bags,104006.73,
2023-09,Green,Bulk,64111.0,
2023-09,Green,Packets (4g - 1kg),77041.6,
2023-09,Green,Packets (3Kg - 5kg),10781.0,
2023-09,Green,Packets (5Kg - 10kg),3240.0,
2023-09,Instant,Packets (>3kg),4106.81,
2023-09,Instant,Packets (1kg-3kg),634.0,
2023-10,Black,Bags,383321.45,
2023-10,Black,Bulk,78266.0,
2023-10,Black,Packets (4g - 1kg),106219.41,
2023-10,Green,Bags,96915.65,
2023-10,Green,Bulk,25860.0,
2023-10,Green,Packets (4g - 1kg),51744.02,
2023-10,Green,Packets (1Kg - 3kg),80.0,
2023-10,Instant,Packets (>3kg),1783.26,
2023-10,Instant,Packets (1kg-3kg),240.0,
2023-11,Black,Bags,570594.48,
2023-11,Black,Bulk,70977.0,
2023-11,Black,Packets (1kg - 3kg),718.5,
2023-11,Black,Packets (4g - 1kg),64117.61,
2023-11,Black,Packets (5kg - 10kg),10.0,
2023-11,Green,Bags,125373.22,
2023-11,Green,Bulk,32206.4,
2023-11,Green,Packets (4g - 1kg),169501.02,
2023-11,Instant,Packets (>3kg),15669.53,
2023-12,Black,Bags,507805.66,
2023-12,Black,Bulk,47020.0,
2023-12,Black,Packets (4g - 1kg),99901.04,
2023-12,Black,Packets (5Kg - 10Kg),11190.0,
2023-12,Green,Bags,106646.61,
2023-12,Green,Bulk,40041.0,
2023-12,Green,Packets (4g - 1kg),41265.47,
2023-12,Green,Packets (5Kg - 10kg),5730.0,
2023-12,Instant,Packets (>3kg),1203.87,
2023-12,Instant,Packets (1kg-3kg),90.0,
2024-01,Black,Bags,438315.07,
2024-01,Black,Bulk,37118.5,
2024-01,Black,Packets (4g - 1kg),33488.21,
2024-01,Black,Packets (5Kg - 10Kg),4710.0,
2024-01,Green,Bags,90317.06,
2024-01,Green,Bulk,9145.0,
2024-01,Green,Packets (4g - 1kg),40649.92,
2024-01,Green,Packets (3Kg - 5kg),38150.0,
2024-01,Green,Packets (5Kg - 10kg),3750.0,
2024-01,Instant,Packets (>3kg),3190.35,
2024-02,Black,Bags,638746.76,
2024-02,Black,Bulk,93225.0,
2024-02,Black,Packets (4g - 1kg),27939.05,
2024-02,Green,Bags,131953.08,
2024-02,Green,Bulk,36272.5,
2024-02,Green,Packets (4g-1kg),47670.82,
2024-02,Green,Packets (1kg-3kg),3000.0,
2024-02,Green,Packets (3kg-5kg),21200.0,
2024-02,Instant,Packets (>3kg),4273.7,
2024-02,Instant,Packets (4g-1kg),90.0,
2024-03,Black,Bags,534877.77,
2024-03,Black,Bulk,82354.63,
2024-03,Black,Packets (4g - 1kg),60856.09,
2024-03,Black,Packets (5kg - 10kg),4700.0,
2024-03,Green,Bags,149891.16,
2024-03,Green,Bulk,36196.0,
2024-03,Green,Packets (3kg-5kg),1.02,
2024-03,Green,Packets (4g-1kg),35420.9,
2024-03,Green,Packets (5kg-10kg),3870.0,
2024-03,Instant,Packets (>3kg),188214.0,
2024-03,Instant,Packets (4g-1kg),60.0,
2024-04,Black,Bags,365364.9,
2024-04,Black,Bulk,81925.84,
2024-04,Black,Packets (1kg - 3kg),81.6,
2024-04,Black,Packets (3kg - 5kg),24.36,
2024-04,Black,Packets (4g - 1kg),66396.62,
2024-04,Black,Packets (5kg - 10kg),5160.0,
2024-04,Green,Bags,90976.89,
2024-04,Green,Bulk,28765.0,
2024-04,Green,Packets (4g - 1kg),15795.92,
2024-04,Green,Packets (4g - 1kg),64277.69,
