year_month,tea_category,package_type,quantity_kg,fob_rs_per_kg
2021-07,Green,Bulk,63489.0,1156.45
2021-07,Green,Packets (4g - 1kg),88219.42,1482.48
2021-07,Green,Packets (3kg - 5kg),108.5,1947.98
2021-07,Green,Packets (5kg - 10kg),1500.0,1817.89
2021-07,Instant,Packets (>3kg),233076.79,1775.88
2021-08,Black,Bags,1579170.7,1790.47
2021-08,Black,Bulk,12159944.83,763.8
2021-08,Black,Packets (4g - 1kg),6425339.73,922.73
2021-08,Black,Packets (1kg - 3kg),162812.74,797.65
2021-08,Black,Packets (3kg - 5kg),1380420.0,820.97
2021-08,Black,Packets (5kg - 10kg),2556004.0,720.66
2021-08,Green,Bags,78215.08,3749.93
2021-08,Green,Bulk,48583.0,1132.05
2021-08,Green,Packets (4g - 1kg),83567.44,1605.2
2021-08,Green,Packets (3kg - 5kg),14.0,2608.71
2021-08,Green,Packets (5kg - 10kg),420.0,1374.77
2021-08,Instant,Packets (>3kg),255745.0,1661.63
2021-08,Instant,Packets (4g - 1kg),214.96,1477.12
2021-09,Black,Bags,1374566.06,1762.54
2021-09,Black,Bulk,10334772.58,750.51
2021-09,Black,Packets (4g - 1kg),6294430.9,902.47
2021-09,Black,Packets (1kg - 3kg),114069.3,817.07
2021-09,Black,Packets (3kg - 5kg),1389083.16,840.44
2021-09,Black,Packets (5kg - 10kg),2770201.0,694.55
2021-09,Green,Bags,51467.98,3870.99
2021-09,Green,Bulk,26125.56,1665.07
2021-09,Green,Packets (4g - 1kg),74090.48,1974.18
2021-09,Green,Packets (3kg - 5kg),40.0,1555.1
2021-09,Green,Packets (5kg - 10kg),15575.0,850.77
2021-09,Instant,Packets (>3kg),175611.8,1787.3
2021-10,Black,Bags,1595032.72,1744.1
2021-10,Black,Bulk,10150826.72,764.15
2021-10,Black,Packets (4g - 1kg),6362062.02,913.14
2021-10,Black,Packets (1kg - 3kg),250678.97,716.49
2021-10,Black,Packets (3kg - 5kg),1654677.24,803.05
2021-10,Black,Packets (5kg - 10kg),3086017.54,681.17
2021-10,Green,Bags,84173.22,3437.56
2021-10,Green,Bulk,24810.92,1135.91
2021-10,Green,Packets (4g - 1kg),113046.04,1721.81
2021-10,Green,Packets (1kg - 3kg),408.0,1843.41
2021-10,Green,Packets (3kg - 5kg),100.0,1420.99
2021-10,Green,Packets (5kg - 10kg),4380.0,2328.51
2021-10,Instant,Packets (>3kg),264149.6,1752.93
2021-10,Instant,Packets (4g - 1kg),0.5,394.0
2021-11,Black,Bags,1834724.38,1729.92
2021-11,Black,Bulk,9897696.95,780.97
2021-11,Black,Packets (4g - 1kg),7157226.01,928.74
2021-11,Black,Packets (1kg - 3kg),329770.03,802.75
2021-11,Black,Packets (3kg - 5kg),1512297.64,843.93
2021-11,Black,Packets (5kg - 10kg),3760301.5,655.33
2021-11,Green,Bags,70905.03,3499.22
2021-11,Green,Bulk,29825.22,1150.27
2021-11,Green,Packets (4g - 1kg),102344.27,1861.97
2021-11,Green,Packets (1kg - 3kg),805.0,2673.64
2021-11,Green,Packets (3kg - 5kg),50.0,7689.9
2021-11,Green,Packets (5kg - 10kg),3665.0,2456.95
2021-11,Instant,Packets (>3kg),233452.3,1684.41
2021-11,RTD,RTD ( Liters ),220.0,900.58
2021-12,Black,Bags,1896603.14,1717.04
2021-12,Black,Bulk,10362338.79,767.09
2021-12,Black,Packets (4g - 1kg),5873569.01,929.7
2021-12,Black,Packets (1kg - 3kg),334105.63,746.72
2021-12,Black,Packets (3kg - 5kg),1118139.78,880.04
2021-12,Black,Packets (5kg - 10kg),3226605.5,668.25
2021-12,Green,Bags,74380.5,3656.42
2021-12,Green,Bulk,45552.0,1046.79
2021-12,Green,Packets (4g - 1kg),83315.51,1821.99
2021-12,Green,Packets (1kg - 3kg),531.0,2126.65
2021-12,Green,Packets (3kg - 5kg),12.0,203.0
2021-12,Green,Packets (5kg - 10kg),3384.0,1543.07
2021-12,Instant,Packets (>3kg),300094.07,1627.18
2021-12,Instant,Packets (4g - 1kg),75.12,642.08
2022-01,Black,Bags,1338819.24,1784.27
2022-01,Black,Bulk,8245497.85,798.76
2022-01,Black,Packets (4g - 1kg),5595974.3,947.52
2022-01,Black,Packets (1kg - 3kg),177793.59,807.09
2022-01,Black,Packets (3kg - 5kg),640200.0,816.42
2022-01,Black,Packets (5kg - 10kg),2435449.05,705.07
2022-01,Green,Bags,63215.31,3855.14
2022-01,Green,Bulk,22180.0,1123.19
2022-01,Green,Packets (4g - 1kg),75361.42,1865.42
2022-01,Green,Packets (1kg - 3kg),678.0,1828.21
2022-01,Green,Packets (3kg - 5kg),5.0,3753.4
2022-01,Green,Packets (5kg - 10kg),440.0,1882.9
2022-01,Instant,Packets (>3kg),178498.4,1580.49
2022-02,Black,Bags,1296518.93,1745.15
2022-02,Black,Bulk,9525915.18,853.71
2022-02,Black,Packets (4g - 1kg),5988051.73,963.66
2022-02,Black,Packets (1kg - 3kg),179551.75,832.97
2022-02,Black,Packets (3kg - 5kg),1086310.74,803.78
