date,usd_lkr
2021-10-14,200.0018
2021-10-15,201.25
2021-10-18,200.093
2021-10-21,200.5117
2021-10-22,201.0455
2021-10-25,201.9836
2021-10-26,203.0
2021-10-27,202.2092
2021-10-28,200.0311
2021-10-29,201.8705
2021-11-01,201.95
2021-11-02,202.4998
2021-11-03,202.5566
2021-11-05,202.6244
2021-11-08,200.3103
2021-11-09,202.0549
2021-11-10,202.3848
2021-11-11,201.4145
2021-11-12,202.3478
2021-11-15,202.05
2021-11-16,202.05
2021-11-17,201.3428
2021-11-19,202.192
2021-11-22,202.2
2021-11-23,202.4167
2021-11-24,200.7778
2021-11-25,200.9721
2021-11-26,201.2131
2021-11-29,201.7582
2021-11-30,202.0474
2021-12-01,202.0474
2021-12-02,201.9333
2021-12-03,200.4453
2021-12-06,202.25
2021-12-07,200.01
2021-12-08,201.5945
2021-12-09,201.2222
2021-12-10,201.0603
2021-12-13,201.3297
2021-12-14,201.873
2021-12-15,201.873
2021-12-16,200.6717
2021-12-17,201.5384
2021-12-20,203.0
2021-12-21,201.51
2021-12-22,201.3214
2021-12-23,200.7232
2021-12-24,200.918
2021-12-27,200.918
2021-12-28,201.5032
2021-12-29,201.0
2021-12-30,203.0
2021-12-31,200.4338
2022-01-03,200.4338
2022-01-04,200.0
2022-01-05,201.7081
2022-01-06,201.048
2022-01-07,201.3347
2022-01-10,201.9011
2022-01-11,200.945
2022-01-12,200.9798
2022-01-13,201.7844
2022-01-18,201.9442
2022-01-19,201.9442
2022-01-20,201.053
2022-01-21,202.75
2022-01-24,202.0
2022-01-25,202.0323
2022-01-26,201.5882
2022-01-27,202.0
2022-01-28,201.191
2022-01-31,201.191
2022-02-01,201.97
2022-02-02,201.4205
2022-02-03,201.5833
2022-02-07,202.0
2022-02-08,202.4091
2022-02-09,202.0659
2022-02-10,201.9637
2022-02-11,202.0
2022-02-14,201.0142
2022-02-15,201.0
2022-02-17,202.0123
2022-02-18,202.1141
2022-02-21,201.9298
2022-02-22,202.0
2022-02-23,201.1908
2022-02-24,201.1908
2022-02-25,202.33
2022-02-28,201.0571
2022-03-02,201.8979
2022-03-03,202.0
2022-03-04,201.6305
2022-03-07,202.04
2022-03-08,202.0909
2022-03-09,229.5
2022-03-10,229.3358
2022-03-11,251.9685
2022-03-14,251.9685
2022-03-15,263.33
2022-03-16,267.8621
2022-03-18,267.8769
2022-03-21,275.0
2022-03-22,280.0
2022-03-23,280.42
2022-03-24,280.0
2022-03-25,290.0
2022-03-28,294.9843
2022-03-29,294.9843
2022-03-30,306.0796
2022-03-31,299.0
2022-04-01,299.0
2022-04-04,310.8571
2022-04-05,307.7891
2022-04-06,307.7891
2022-04-07,299.8125
2022-04-08,299.0
2022-04-11,311.675
2022-04-12,313.67
2022-04-18,313.67
2022-04-19,310.0
2022-04-20,310.0
2022-04-21,335.0
2022-04-22,334.8
2022-04-25,334.8
2022-04-26,340.465
2022-04-27,337.9
2022-04-28,341.85
2022-04-29,341.85
2022-05-04,340.0
2022-05-05,349.9
2022-05-06,358.5686
2022-05-09,364.76
2022-05-10,364.76
2022-05-11,364.76
2022-05-12,360.0
2022-05-13,360.0
2022-05-17,359.75
2022-05-18,359.65
2022-05-19,359.55
2022-05-20,359.475
2022-05-23,359.4373
2022-05-24,359.3764
2022-05-25,359.3764
2022-05-26,359.7079
2022-05-27,359.25
2022-05-30,360.76
2022-05-31,360.76
2022-06-01,360.1114
2022-06-02,360.6
2022-06-03,360.3
2022-06-06,360.2773
2022-06-07,360.2773
2022-06-08,360.0255
2022-06-09,360.0255
2022-06-10,359.8
2022-06-13,359.8338
2022-06-15,359.85
2022-06-16,359.85
2022-06-17,359.75
2022-06-20,360.75
2022-06-21,361.75
2022-06-22,360.9
2022-06-23,360.9
2022-06-24,360.3
2022-06-27,360.3
2022-06-28,359.9
2022-06-29,359.72
2022-06-30,359.8782
2022-07-01,359.55
2022-07-04,359.7941
2022-07-05,359.7941
2022-07-06,359.8167
2022-07-07,360.82
2022-07-08,360.3497
2022-07-11,361.35
2022-07-12,360.9048
2022-07-14,361.9
2022-07-15,361.24
2022-07-18,361.0331
2022-07-19,361.1657
2022-07-20,361.87
2022-07-21,361.67
2022-07-22,361.3
2022-07-25,361.09
2022-07-26,361.0
2022-07-27,361.0
2022-07-28,361.0
2022-07-29,360.8
2022-08-01,361.0
2022-08-02,361.0
2022-08-03,360.9254
2022-08-04,360.9254
2022-08-05,360.8
2022-08-08,360.8
2022-08-09,360.94
2022-08-10,360.94
2022-08-12,360.85
2022-08-15,360.92
2022-08-16,360.9733
2022-08-17,360.96
2022-08-18,360.9733
2022-08-19,361.0
2022-08-22,360.9467
2022-08-23,361.0
2022-08-24,361.0
2022-08-25,361.0
2022-08-26,361.4
2022-08-29,361.17
2022-08-30,361.29
2022-08-31,361.148
2022-09-01,361.0786
2022-09-02,361.45
2022-09-05,361.45
2022-09-06,361.45
2022-09-07,361.8056
2022-09-08,361.9
2022-09-09,362.0
2022-09-12,362.2
2022-09-13,362.2824
2022-09-14,362.45
2022-09-15,362.45
2022-09-16,362.9
2022-09-19,362.9
2022-09-20,362.9
2022-09-21,362.9
2022-09-22,362.9
2022-09-23,362.9
2022-09-26,362.9
2022-09-27,362.9
2022-09-28,362.9
2022-09-29,362.9
2022-09-30,362.9
2022-10-03,362.9
2022-10-04,362.9
2022-10-05,362.9
2022-10-06,362.9
2022-10-07,362.9
2022-10-11,362.9
2022-10-12,362.9
2022-10-13,362.9
2022-10-14,363.14
2022-10-17,363.38
2022-10-18,363.38
2022-10-19,363.38
2022-10-20,363.38
2022-10-21,363.38
2022-10-25,363.38
2022-10-26,363.3
2022-10-27,363.3
2022-10-28,363.3
2022-10-31,363.3
2022-11-01,363.3
2022-11-02,363.3
2022-11-03,363.3
2022-11-04,363.5
2022-11-08,363.5
2022-11-09,363.5
2022-11-10,363.5
2022-11-11,363.5
2022-11-14,363.5
2022-11-15,363.5
2022-11-16,363.5
2022-11-17,363.5
2022-11-18,363.5
2022-11-21,363.5
2022-11-22,363.5
2022-11-23,363.5
2022-11-24,363.5
2022-11-25,363.0
2022-11-28,363.0
2022-11-29,363.1875
2022-11-30,363.1875
2022-12-01,363.19
2022-12-02,363.19
2022-12-05,363.1767
2022-12-06,363.18
2022-12-08,363.18
2022-12-09,363.18
2022-12-12,363.18
2022-12-13,363.18
2022-12-14,363.18
2022-12-15,363.18
2022-12-16,363.18
2022-12-19,363.18
2022-12-20,363.1612
2022-12-21,363.16
2022-12-22,363.16
2022-12-23,363.1733
2022-12-27,363.1
2022-12-28,363.1326
2022-12-29,363.13
2022-12-30,363.11
2023-01-02,363.11
2023-01-03,363.11
2023-01-04,363.11
2023-01-05,363.11
2023-01-09,363.0917
2023-01-10,362.2446
2023-01-11,362.24
2023-01-12,362.24
2023-01-13,362.24
2023-01-17,362.24
2023-01-18,362.24
2023-01-19,362.2698
2023-01-20,362.1694
2023-01-23,362.16
2023-01-24,362.16
2023-01-25,362.16
2023-01-26,362.14
2023-01-27,362.14
2023-01-30,362.14
2023-01-31,362.14
2023-02-01,362.14
2023-02-02,362.14
2023-02-03,361.9686
2023-02-06,361.9589
2023-02-07,361.96
2023-02-08,361.96
2023-02-09,361.9226
2023-02-10,361.9226
2023-02-13,361.92
2023-02-14,361.92
2023-02-15,361.92
2023-02-16,361.92
2023-02-17,361.92
2023-02-20,361.92
2023-02-21,361.92
2023-02-22,361.6615
2023-02-23,361.66
2023-02-24,362.668
2023-02-27,362.4983
2023-02-28,361.6318
2023-03-01,358.4593
2023-03-02,353.6543
2023-03-03,346.1724
2023-03-07,337.6693
2023-03-08,326.6337
2023-03-09,319.5585
2023-03-10,318.633
2023-03-13,319.105
2023-03-14,322.9615
2023-03-15,327.0617
2023-03-16,337.2877
2023-03-17,336.8
2023-03-20,335.2842
2023-03-21,335.0815
2023-03-22,321.8906
2023-03-23,317.3116
2023-03-24,318.6334
2023-03-27,320.5985
2023-03-28,319.9778
2023-03-29,322.6667
2023-03-30,325.6324
2023-03-31,327.2857
2023-04-03,327.5
2023-04-04,323.7837
2023-04-06,321.1748
2023-04-10,319.9741
2023-04-11,319.833
2023-04-12,319.85
2023-04-17,319.5718
2023-04-18,319.9261
2023-04-19,320.83
2023-04-20,320.7155
2023-04-21,321.1373
2023-04-24,321.6512
2023-04-25,321.8
2023-04-26,321.7598
2023-04-27,321.6324
2023-04-28,321.65
2023-05-02,321.4389
2023-05-03,320.9014
2023-05-04,319.9665
2023-05-08,319.4428
2023-05-09,318.5233
2023-05-10,318.0867
2023-05-11,316.6797
2023-05-12,313.654
2023-05-15,313.2454
2023-05-16,312.639
2023-05-17,310.4042
2023-05-18,307.3664
2023-05-19,305.7839
2023-05-22,307.0783
2023-05-23,305.8837
2023-05-24,304.707
2023-05-25,303.2681
2023-05-26,303.05
2023-05-29,299.1118
2023-05-30,296.6888
2023-05-31,295.5211
2023-06-01,292.4557
2023-06-02,292.2778
2023-06-05,292.3145
2023-06-06,291.5413
2023-06-07,291.2115
2023-06-08,290.9686
2023-06-09,293.2079
2023-06-12,296.2449
2023-06-13,300.4257
2023-06-14,303.2095
2023-06-15,308.4828
2023-06-16,313.8245
2023-06-19,309.2
2023-06-20,305.9231
2023-06-21,306.125
2023-06-22,306.9052
2023-06-23,306.9543
2023-06-26,307.0
2023-06-27,308.1212
2023-06-28,308.83
2023-07-04,308.1162
2023-07-05,306.2611
2023-07-06,306.9852
2023-07-07,308.1957
2023-07-10,311.5068
2023-07-11,312.7857
2023-07-12,313.9049
2023-07-13,314.5869
2023-07-14,316.3556
2023-07-17,319.1206
2023-07-18,322.8065
2023-07-19,322.5265
2023-07-20,324.25
2023-07-21,325.2204
2023-07-24,326.75
2023-07-25,329.0
2023-07-26,329.4167
2023-07-27,329.3811
2023-07-28,329.2804
2023-07-31,329.3566
2023-08-02,324.6497
2023-08-03,314.0972
2023-08-04,318.4438
2023-08-07,318.4438
2023-08-08,321.496
2023-08-09,321.0833
2023-08-10,320.2591
2023-08-11,320.0006
2023-08-14,319.9817
2023-08-15,320.9366
2023-08-16,321.1804
2023-08-17,321.0863
2023-08-18,321.8596
2023-08-21,323.2519
2023-08-22,323.935
2023-08-23,323.935
2023-08-24,323.9704
2023-08-25,324.05
2023-08-28,323.8714
2023-08-29,323.9093
2023-08-31,322.6634
2023-09-01,319.6472
2023-09-04,319.257
2023-09-05,320.3778
2023-09-06,321.9978
2023-09-07,321.995
2023-09-08,322.3871
2023-09-11,321.6556
2023-09-12,322.2833
2023-09-13,322.3823
2023-09-14,323.3778
2023-09-15,323.3731
2023-09-18,323.375
