year_month,price_high_rs,price_low_rs,price_medium_rs,sales_qty_high_kg,sales_qty_low_kg,sales_qty_medium_kg,prod_high_kg,prod_low_kg,prod_medium_kg,prod_ctc_kg,prod_green_tea_kg,prod_orthodox_kg,export_black_qty_kg,export_black_fob_avg,price_high_rs_lag1,price_high_rs_lag3,price_high_rs_roll3,price_low_rs_lag1,price_low_rs_lag3,price_low_rs_roll3,price_medium_rs_lag1,price_medium_rs_lag3,price_medium_rs_roll3,month,quarter,is_peak_season,rainfall_mm_high,rainfall_mm_low,rainfall_mm_medium,avg_temp_c_high,avg_temp_c_low,avg_temp_c_medium,rainfall_mm,avg_temp_c,usd_lkr_avg,oil_price,mombasa_usd_kg,sentiment_score,price_national_avg,price_national_avg_lag1,price_national_avg_lag3,price_national_avg_roll3,price_national_avg_vol4,price_spread_high_low,price_vol_cross_elev,rainfall_mm_high_lag1,rainfall_mm_high_lag2,rainfall_mm_high_roll3,rainfall_mm_medium_lag1,rainfall_mm_medium_lag2,rainfall_mm_medium_roll3,rainfall_mm_low_lag1,rainfall_mm_low_lag2,rainfall_mm_low_roll3,rainfall_mm_lag1,rainfall_mm_lag2,rainfall_mm_roll3,fx_change_pct,fx_lag1,oil_change_pct,mombasa_lag1,prod_total_kg,split_set
2016-05,419.04,471.995,400.701875,47299.0,18972.0,36840.8,8320511.0,17355778.0,5147250.0,2001734.0,301347.0,28520459.0,1644796.15,1161.1,431.9708333333333,443.95,427.6927777777778,437.909,406.889,442.5243333333333,398.04,360.50625,392.30104166666666,5,2,0,646.02,742.1166666666667,479.8,22.8,29.142473118279568,26.03640552995392,620.5,25.439551192145863,145.6502,47.1,2.21,0.0,422.23140063988797,421.9818934267829,406.78271565440616,416.478180718819,9.320415894833722,-52.954999999999984,37.02077913321395,165.92000000000002,97.33,303.09,93.82857142857142,50.51428571428572,208.04761904761912,138.6,66.33333333333333,315.68333333333334,136.8521739130435,74.99565217391304,277.4492753623188,1.2161909546970495,143.9001,11.34751773049647,2.11,30823539.0,train
2016-06,392.69,462.654,389.78,74899.5,20100.0,103932.0,5037516.0,16611143.0,4026205.0,1670404.0,213000.0,23791461.0,1817563.77,1192.99,419.04,432.06750000000005,414.56694444444446,471.995,417.669,457.51933333333335,400.701875,378.16125,396.1739583333333,6,2,0,157.57,193.41666666666663,78.88571428571427,21.895,28.391666666666666,25.87238095238095,142.97391304347826,24.800289855072464,145.2836,48.5,2.41,0.0,398.23881594920863,422.23140063988797,405.22124808978606,414.1507033386265,12.105298366772416,-69.964,41.25944189313925,646.02,165.92000000000002,323.1699999999999,479.8,93.82857142857142,217.50476190476195,742.1166666666667,138.6,358.0444444444444,620.5,136.8521739130435,300.10869565217394,-0.251698933472122,145.6502,2.972399150743099,2.21,25674864.0,train
2016-07,412.8733333333334,480.6,398.08875,34791.4,26224.8,63813.0,4527300.0,13702989.0,3283520.0,1384744.0,173515.0,19955550.0,1445660.1,1160.38,392.69,431.9708333333333,408.2011111111112,462.654,437.909,471.74966666666666,389.78,398.04,396.1902083333334,7,3,0,188.35,157.33333333333334,136.1,22.06612903225807,28.2505376344086,26.352073732718896,164.3565217391304,24.983870967741936,145.407,45.1,2.43,0.0,419.5438052401468,398.23881594920863,421.9818934267829,413.33800727641443,11.570472886549062,-67.72666666666663,43.99543851105581,157.57,646.02,330.6466666666666,78.88571428571427,479.8,231.59523809523816,193.41666666666663,742.1166666666667,364.28888888888883,142.97391304347826,620.5,309.27681159420285,0.08493732258838538,145.2836,-7.010309278350513,2.41,21513809.0,train
2016-08,429.5208333333333,501.505,416.04875,40942.0,32800.0,46497.0,4080530.0,15923187.0,3252603.0,1542477.0,151224.0,21562619.0,1614345.53,1216.97,412.8733333333334,419.04,411.6947222222223,480.6,471.995,481.58633333333336,398.08875,400.701875,401.3058333333333,8,3,1,141.42000000000002,135.6,73.34285714285714,22.03741935483871,28.22043010752688,26.5036866359447,119.18260869565216,25.00967741935484,145.601,46.1,2.31,0.0,443.9476766031266,419.5438052401468,422.23140063988797,420.5767659308273,18.693170275421426,-71.98416666666668,45.94559816438209,188.35,157.57,162.44666666666663,136.1,78.88571428571427,96.10952380952385,157.33333333333334,193.41666666666663,162.11666666666662,164.3565217391304,142.97391304347826,142.17101449275356,0.1334186112085245,145.407,2.2172949002217335,2.43,23256320.0,train
2016-09,461.5883333333333,540.437,454.2675,121844.25,17860.0,52553.0,3971996.0,13005769.0,2974192.0,1039034.0,154673.0,18758250.0,1694078.68,1232.95,429.5208333333333,392.69,434.66083333333336,501.505,462.654,507.514,416.04875,389.78,422.8016666666667,9,3,1,100.88,115.23333333333332,51.142857142857146,22.107333333333333,28.11888888888889,27.18,89.48695652173912,25.21942028985507,145.7849,46.2,2.33,0.0,466.9119579690753,443.9476766031266,398.23881594920863,443.46781327078287,29.757144793244553,-78.8486666666667,47.77706835930037,141.42000000000002,188.35,143.54999999999995,73.34285714285714,136.1,86.8619047619048,135.6,157.33333333333334,136.05555555555551,119.18260869565216,164.3565217391304,124.34202898550718,0.12630407758187356,145.601,0.2169197396963085,2.31,19951957.0,train
2016-10,516.6291666666667,572.7470000000001,482.810625,45551.41,10175.0,42756.08,3390811.0,12977917.0,2336707.0,1106407.0,114087.0,17484941.0,1527125.79,1241.12,461.5883333333333,412.8733333333334,469.2461111111111,540.437,480.6,538.2296666666667,454.2675,398.08875,451.0422916666666,10,4,0,188.51,132.20000000000002,154.12857142857143,22.485806451612905,28.811290322580646,27.0926267281106,163.3565217391304,25.538008415147264,146.8723,49.7,2.39,0.0,507.7448531321829,466.9119579690753,419.5438052401468,472.8681625681282,37.50941988225601,-56.11783333333335,45.42660110300368,100.88,141.42000000000002,143.6033333333333,51.142857142857146,73.34285714285714,92.87142857142862,115.23333333333332,135.6,127.67777777777773,89.48695652173912,119.18260869565216,124.00869565217386,0.7458934361514791,145.7849,7.575757575757569,2.33,18705435.0,train
2016-11,557.3225,604.7470000000001,486.835,46184.0,440.0,69759.0,5921708.0,17904691.0,3885703.0,1629246.0,200491.0,25882366.0,1361572.8,1329.59,516.6291666666667,429.5208333333333,511.8466666666666,572.7470000000001,501.505,572.6436666666667,482.810625,416.04875,474.63770833333336,11,4,0,424.4,358.7,267.5571428571429,21.80933333333333,28.495,24.319523809523808,359.52608695652174,24.317391304347822,147.771,46.4,2.68,0.0,515.2521741577378,507.7448531321829,443.9476766031266,496.6363284196653,33.84059571579468,-47.42450000000008,59.33072644156094,188.51,100.88,237.92999999999995,154.12857142857143,51.142857142857146,157.60952380952384,132.20000000000002,115.23333333333332,202.0444444444444,163.3565217391304,89.48695652173912,204.123188405797,0.6118920994632626,146.8723,-6.639839034205242,2.39,27712102.0,train
2016-12,560.295,599.759,512.76,54317.0,4780.0,101621.0,6142174.0,16589737.0,4447784.0,1697202.0,245543.0,25236952.0,1368877.42,1282.8,557.3225,461.5883333333333,544.7488888888889,604.7470000000001,540.437,592.4176666666667,486.835,454.2675,494.1352083333333,12,4,0,108.88,89.11666666666667,67.82857142857142,22.098064516129035,28.886559139784943,24.57880184331797,91.2304347826087,24.623983169705472,148.882,54.1,2.67,0.0,531.412632654712,515.2521741577378,466.9119579690753,518.1365533148776,27.450141072513237,-39.464000000000055,43.56185166327683,424.4,188.51,240.5966666666666,267.5571428571429,154.12857142857143,163.1714285714286,358.7,132.20000000000002,193.33888888888885,359.52608695652174,163.3565217391304,204.7043478260869,0.7518389941193027,147.771,16.594827586206897,2.68,27179695.0,train
2017-01,613.1983333333334,603.1859999999999,546.941875,31986.5,15125.0,95075.0,4627708.0,14263667.0,2795115.0,1426359.0,159822.0,20100309.0,1231882.89,1263.36,560.295,516.6291666666667,576.9386111111111,599.759,572.7470000000001,602.564,512.76,482.810625,515.5122916666666,1,1,0,119.16,126.8,164.95714285714286,20.85806451612903,30.27043010752688,23.4036866359447,135.09130434782608,24.08821879382889,150.0946,54.9,3.05,0.0,567.8299663103859,531.412632654712,507.7448531321829,538.1649243742786,26.737226419378633,10.012333333333459,35.715465106566334,108.88,424.4,217.47999999999993,67.82857142857142,267.5571428571429,166.7809523809524,89.11666666666667,358.7,191.53888888888886,91.2304347826087,359.52608695652174,195.2826086956521,0.8144705202778102,148.882,1.4787430683918634,2.67,21686490.0,train
2017-02,605.3208333333333,608.388,538.94125,46976.0,26100.0,26129.0,3993644.0,11905178.0,2714105.0,1161879.0,137153.0,17313894.0,1390889.76,1327.99,613.1983333333334,557.3225,592.9380555555556,603.1859999999999,604.7470000000001,603.7776666666667,546.941875,486.835,532.8810416666666,2,1,1,67.17,52.833333333333336,60.85714285714285,21.033571428571427,30.674404761904764,23.97091836734694,61.50869565217391,24.44254658385093,150.8173,55.5,3.06,0.0,588.6444653789291,567.8299663103859,515.2521741577378,562.629021448009,33.47506696061448,-3.067166666666708,39.23966462741191,119.16,108.88,98.4033333333333,164.95714285714286,67.82857142857142,97.88095238095241,126.8,89.11666666666667,89.5833333333333,135.09130434782608,91.2304347826087,95.9434782608695,0.48149633631056066,150.0946,1.0928961748633892,3.05,18612927.0,train
